repetition,cluster_size,batched_send_interval,workload,runtime,tasks,tasks_per_sec,batched_send_interval_ms
4,100,10ms,shuffle,98.00405093099836,277520.0,2831.719682642438,10
1,100,200ms,shuffle,,,,200
2,20,25ms,shuffle,18.608694350001315,58500.0,3143.6918087698004,25
2,100,10ms,shuffle,,,,10
2,20,100ms,shuffle,,,,100
1,100,75ms,shuffle,100.06302585400043,277520.0,2773.4520081865485,75
0,20,500ms,shuffle,18.276970007998894,58500.0,3200.7493569446983,500
0,20,25ms,shuffle,18.889051561000084,58500.0,3097.032151724547,25
0,100,500ms,shuffle,100.69485571299809,277520.0,2756.049433061322,500
2,50,2ms,shuffle,47.76587497199944,127046.0,2659.764948814921,2
4,10,25ms,shuffle,7.682369390000532,22934.0,2985.2769159800077,25
1,20,10ms,shuffle,18.42672478699751,58500.0,3174.7367302777257,10
3,100,75ms,shuffle,100.6560571839982,277520.0,2757.1117701609987,75
2,20,5ms,shuffle,18.52982364899799,58500.0,3157.072679596895,5
2,50,5ms,shuffle,47.40787483199893,127046.0,2679.850139881142,5
2,20,200ms,shuffle,18.746056069001497,58500.0,3120.6564081890097,200
1,100,5ms,shuffle,,,,5
4,50,25ms,shuffle,,,,25
2,100,200ms,shuffle,,,,200
3,20,2ms,shuffle,,,,2
2,10,75ms,shuffle,7.878011943001184,22934.0,2911.140547378141,75
3,50,500ms,shuffle,46.95030629499888,127046.0,2705.967437182255,500
1,10,2ms,shuffle,7.494639283999278,22934.0,3060.0538773044186,2
2,50,500ms,shuffle,46.534892919000406,127046.0,2730.1233983956704,500
1,20,25ms,shuffle,18.04147549699701,58500.0,3242.528584191314,25
1,50,25ms,shuffle,47.114019189997634,127046.0,2696.5646782894723,25
3,20,100ms,shuffle,18.04315963800036,58500.0,3242.2259279241894,100
2,10,2ms,shuffle,7.469734697002423,22934.0,3070.256298286381,2
0,20,50ms,shuffle,,,,50
0,20,10ms,shuffle,18.467252579001073,58500.0,3167.769528777646,10
2,100,500ms,shuffle,,,,500
1,100,25ms,shuffle,100.35360026400305,277520.0,2765.421462408128,25
1,20,200ms,shuffle,,,,200
3,100,5ms,shuffle,100.46161720000237,278330.0,2770.510845409658,5
0,50,10ms,shuffle,47.55745794900577,127046.0,2671.421170917652,10
4,50,200ms,shuffle,47.45698763499968,127046.0,2677.0767874508574,200
4,100,50ms,shuffle,,,,50
1,10,75ms,shuffle,7.492834790995403,22934.0,3060.79082746642,75
3,50,25ms,shuffle,46.67766954800027,127046.0,2721.772556990108,25
4,10,50ms,shuffle,7.4120462279970525,22934.0,3094.152315641645,50
3,100,10ms,shuffle,102.55301202199915,277520.0,2706.112619495445,10
4,50,2ms,shuffle,47.20149155900435,127046.0,2691.5674866160916,2
1,10,100ms,shuffle,7.643527425003412,22934.0,3000.4471397562575,100
2,50,50ms,shuffle,46.97685068599822,127046.0,2704.438423282107,50
3,50,2ms,shuffle,47.43379241400544,127046.0,2678.385883446419,2
3,100,500ms,shuffle,,,,500
1,10,10ms,shuffle,7.530426629004069,22934.0,3045.511380678988,10
4,100,500ms,shuffle,101.71767799399822,277520.0,2728.335973382865,500
3,10,200ms,shuffle,7.460955472000933,22934.0,3073.869035415835,200
4,100,200ms,shuffle,102.09396156899312,277520.0,2718.2802560997434,200
4,20,50ms,shuffle,18.399712680002263,58500.0,3179.3974730692807,50
3,50,10ms,shuffle,47.15155051500187,127721.0,2708.733829640744,10
2,50,100ms,shuffle,47.79952024199884,127046.0,2657.892785467156,100
3,20,10ms,shuffle,18.11537373600004,58500.0,3229.3013024481534,10
0,10,10ms,shuffle,7.450737118000688,22934.0,3078.084709846004,10
0,100,2ms,shuffle,100.69827560600244,277520.0,2755.9558327079985,2
3,50,5ms,shuffle,47.60857321699586,127046.0,2668.552981433303,5
3,10,500ms,shuffle,7.656001094001112,22934.0,2995.5586106133164,500
0,2,15ms,shuffle,1.2050791180000715,2390.0,1983.272271754574,15
0,2,2ms,shuffle,1.1716958109999496,2390.0,2039.7785650187861,2
0,2,5ms,shuffle,1.2554297639999277,2390.0,1903.7305538983046,5
0,2,10ms,shuffle,1.3820111429999995,2390.0,1729.36376968127,10
0,2,20ms,shuffle,1.203096526999957,2390.0,1986.5405197035245,20
0,2,75ms,shuffle,1.2574706159999778,2390.0,1900.64083374179,75
0,2,30ms,shuffle,1.1880203729999719,2390.0,2011.7500123039192,30
0,2,50ms,shuffle,1.2540223690000405,2390.0,1905.867119344761,50
0,2,10ms,shuffle,1.1573643680000032,2390.0,2065.0367905572098,10
0,2,500ms,shuffle,1.3227857159999985,2390.0,1806.7930210398513,500
0,2,200ms,shuffle,1.3025217229999269,2390.0,1834.902219131845,200
0,10,2ms,shuffle,9.157987550000144,22934.0,2504.2619762023633,2
0,10,10ms,shuffle,8.931484773000195,22934.0,2567.770150527412,10
0,10,5ms,shuffle,9.066913889000032,22934.0,2529.41632409496,5
0,10,15ms,shuffle,9.026652686000034,22934.0,2540.6981743708484,15
0,10,20ms,shuffle,9.159620371000074,22934.0,2503.8155590607735,20
0,10,50ms,shuffle,8.906405525000082,22934.0,2575.0006481991836,50
0,10,30ms,shuffle,8.892214598999999,22934.0,2579.1100456099107,30
0,10,75ms,shuffle,8.91672446199982,22934.0,2572.0207120604937,75
0,10,10ms,shuffle,9.243156634999877,22934.0,2481.1869911582758,10
0,10,200ms,shuffle,9.284204581999802,22934.0,2470.217001084228,200
0,10,500ms,shuffle,8.536564336999845,22934.0,2686.5609037347335,500
0,20,2ms,shuffle,21.24946799199984,58500.0,2753.010099924597,2
0,20,5ms,shuffle,22.101477580999926,58500.0,2646.8818560027385,5
0,20,15ms,shuffle,21.403130207999997,58500.0,2733.245064225888,15
0,20,10ms,shuffle,21.899960571999827,58500.0,2671.237685915979,10
0,20,30ms,shuffle,22.02526809699998,58500.0,2656.040314350052,30
0,20,20ms,shuffle,21.941968803000012,58500.0,2666.1235609815285,20
0,20,50ms,shuffle,20.912026246999627,58500.0,2797.4333672421317,50
0,20,75ms,shuffle,21.136568652999813,58500.0,2767.715089445106,75
0,20,10ms,shuffle,21.595111036000162,58500.0,2708.9464787876054,10
0,20,200ms,shuffle,21.448145937999925,58500.0,2727.508483442146,200
0,20,500ms,shuffle,21.810905704000106,58500.0,2682.1444645130505,500
0,50,2ms,shuffle,54.65474886399989,127046.0,2324.5189602121277,2
0,50,10ms,shuffle,56.19477856000003,127046.0,2260.815030427623,10
0,50,15ms,shuffle,55.55245647699986,127046.0,2286.9555741896006,15
0,50,5ms,shuffle,55.20579124699998,127046.0,2301.3165309337724,5
0,50,20ms,shuffle,56.13460923499997,127046.0,2263.2383431786093,20
0,50,50ms,shuffle,55.37271380099992,127046.0,2294.3791495678115,50
0,50,75ms,shuffle,55.90885756199987,127046.0,2272.3769638668246,75
0,50,30ms,shuffle,55.59541956999965,127046.0,2285.1882580009606,30
0,50,10ms,shuffle,55.743668177000025,127046.0,2279.1108686388798,10
0,50,200ms,shuffle,55.640895180999905,127046.0,2283.320561013966,200
0,50,500ms,shuffle,55.72417690700013,127046.0,2279.9080587952185,500
0,100,5ms,shuffle,,,,5
0,100,2ms,shuffle,,,,2
0,100,15ms,shuffle,,,,15
0,100,10ms,shuffle,,,,10
0,100,20ms,shuffle,,,,20
0,100,30ms,shuffle,,,,30
0,100,50ms,shuffle,,,,50
0,100,75ms,shuffle,,,,75
1,2,2ms,shuffle,1.1032296909997967,2390.0,2166.3666410519404,2
0,100,10ms,shuffle,,,,10
0,100,200ms,shuffle,,,,200
1,2,15ms,shuffle,1.3056718059997363,2390.0,1830.4753070546756,15
1,2,10ms,shuffle,1.4827678359997662,2390.0,1611.8504475034867,10
0,100,500ms,shuffle,,,,500
1,2,30ms,shuffle,1.246998602999156,2390.0,1916.601986763908,30
1,2,20ms,shuffle,1.2247632779999549,2390.0,1951.3975009953622,20
1,2,5ms,shuffle,,,,5
1,2,50ms,shuffle,1.0929743159995269,2390.0,2186.6936532852933,50
1,2,75ms,shuffle,1.290243420000479,2390.0,1852.3636415825415,75
1,2,10ms,shuffle,1.263928782998846,2390.0,1890.9293246170043,10
1,2,200ms,shuffle,1.2210317760000182,2390.0,1957.3610179330537,200
1,2,500ms,shuffle,1.21935759400003,2390.0,1960.0484810692383,500
1,10,5ms,shuffle,9.325542888998825,22934.0,2459.2670124390106,5
1,10,2ms,shuffle,8.645159834999504,22934.0,2652.813879409474,2
1,10,10ms,shuffle,8.605958530999487,22934.0,2664.897805095102,10
1,10,15ms,shuffle,8.74736572799884,22934.0,2621.8178950254865,15
1,10,30ms,shuffle,9.171692959998836,22934.0,2500.5198167910444,30
1,10,20ms,shuffle,9.110112915001082,22934.0,2517.422145474832,20
1,10,50ms,shuffle,9.30064199300068,22934.0,2465.8512839499986,50
1,10,75ms,shuffle,9.425394476998918,22934.0,2433.213809349471,75
1,10,200ms,shuffle,8.98557481700118,22934.0,2552.313064781083,200
